,LocationAbbr,CMMR_Barcode,Target,Ct,copiesperL,copiesperml,SampleName,date_of_collection,flow_rate,replicate_#,Notes
89,MC,VY9AEV,SARSCOV2N1,30,1035133.333,1035133333,MC-21-01-25,1/25/2021,1.588,1,"We skipped two weeks in January. Additionally, the city stopped forwarding the flowrates, so we used the median flow rate from 2020 (10.149)"
90,MC,VY9AEV,SARSCOV2N1,29.9,1109133.333,1109133333,MC-21-01-25,1/25/2021,1.588,2,
91,MC,VY9AEV,SARSCOV2N1,31,496666.6667,496666666.7,MC-21-02-01,2/1/2021,1.588,1,
92,MC,VY9AEV,SARSCOV2N1,30.7,603866.6667,603866666.7,MC-21-02-01,2/1/2021,1.588,2,
93,MC,VY9AEV,SARSCOV2N1,34.3,42333.33333,42333333.33,MC-21-02-08,2/8/2021,1.588,1,
94,MC,VY9AEV,SARSCOV2N1,33.4,84533.33333,84533333.33,MC-21-02-08,2/8/2021,1.588,2,
95,MC,VY9AEV,SARSCOV2N1,35.2,21266.66667,21266666.67,MC-21-02-22,2/22/2021,1.588,1,We skipped a week here
96,MC,VY9AEV,SARSCOV2N1,36.5,8333.333333,8333333.333,MC-21-02-22,2/22/2021,1.588,2,
97,MC,VY9AEV,SARSCOV2N1,Undetermined,1333.333333,1333333.333,MC-21-03-01,3/1/2021,1.588,1,
98,MC,VY9AEV,SARSCOV2N1,Undetermined,1333.333333,1333333.333,MC-21-03-01,3/1/2021,1.588,2,
99,MC,VY9AEV,SARSCOV2N1,Undetermined,1333.333333,1333333.333,MC-21-03-08,3/8/2021,1.588,1,
100,MC,VY9AEV,SARSCOV2N1,Undetermined,1333.333333,1333333.333,MC-21-03-08,3/8/2021,1.588,2,
101,MC,VY9AEV,SARSCOV2N1,Undetermined,1333.333333,1333333.333,MC-21-03-15,3/15/2021,1.588,1,
102,MC,VY9AEV,SARSCOV2N1,Undetermined,1333.333333,1333333.333,MC-21-03-15,3/15/2021,1.588,2,
103,MC,VY9AEV,SARSCOV2N1,,,0,MC-21-03-22,3/22/2021,1.588,1,We did not sample MC this week
104,MC,VY9AEV,SARSCOV2N1,37.2,4733.333333,4733333.333,MC-21-03-29,3/29/2021,1.588,1,
105,MC,VY9AEV,SARSCOV2N1,Undetermined,1333.333333,1333333.333,MC-21-03-29,3/29/2021,1.588,2,
106,MC,VY9AEV,SARSCOV2N1,Undetermined,1333.333333,1333333.333,MC-21-04-05,4/5/2021,1.588,1,
107,MC,VY9AEV,SARSCOV2N1,Undetermined,1333.333333,1333333.333,MC-21-04-05,4/5/2021,1.588,2,
108,MC,VY9AEV,SARSCOV2N1,Undetermined,1333.333333,1333333.333,MC-21-04-12,4/12/2021,1.588,1,
109,MC,VY9AEV,SARSCOV2N1,Undetermined,1333.333333,1333333.333,MC-21-04-12,4/12/2021,1.588,2,
110,MC,VY9AEV,SARSCOV2N1,Undetermined,1333.333333,1333333.333,MC-21-04-19,4/19/2021,1.588,1,
111,MC,VY9AEV,SARSCOV2N1,Undetermined,1333.333333,1333333.333,MC-21-04-19,4/19/2021,1.588,2,
112,MC,VY9AEV,SARSCOV2N1,Undetermined,1333.333333,1333333.333,MC-21-04-26,4/26/2021,1.588,1,
113,MC,VY9AEV,SARSCOV2N1,Undetermined,1333.333333,1333333.333,MC-21-04-26,4/26/2021,1.588,2,
114,MC,VY9AEV,SARSCOV2N1,Undetermined,1333.333333,1333333.333,MC-21-05-03,5/3/2021,1.588,1,
115,MC,VY9AEV,SARSCOV2N1,Undetermined,1333.333333,1333333.333,MC-21-05-03,5/3/2021,1.588,2,
116,MC,VY9AEV,SARSCOV2N1,Undetermined,1333.333333,1333333.333,MC-21-05-10,5/10/2021,1.39,1,The city started reporting flow rates again
117,MC,VY9AEV,SARSCOV2N1,Undetermined,1333.333333,1333333.333,MC-21-05-10,5/10/2021,1.39,2,
118,MC,VY9AEV,SARSCOV2N1,Undetermined,1333.333333,1333333.333,MC-21-05-17,5/17/2021,1.852,1,
119,MC,VY9AEV,SARSCOV2N1,Undetermined,1333.333333,1333333.333,MC-21-05-17,5/17/2021,1.852,2,
120,MC,VY9AEV,SARSCOV2N1,Undetermined,1333.333333,1333333.333,MC-21-05-24,5/24/2021,2.139,1,
121,MC,VY9AEV,SARSCOV2N1,Undetermined,1333.333333,1333333.333,MC-21-05-24,5/24/2021,2.139,2,
122,MC,VY9AEV,SARSCOV2N1,Undetermined,1333.333333,1333333.333,MC-21-05-31,5/31/2021,1.499,1,
123,MC,VY9AEV,SARSCOV2N1,Undetermined,1333.333333,1333333.333,MC-21-05-31,5/31/2021,1.499,2,
