"WWTP","Date","copiesperL","flow_rate_value"
"69th Street",2021-08-02,82653.9737635672,80.03
"69th Street",2021-08-03,83393.812341789,80.03
"69th Street",2021-08-04,83932.830265238,80.03
"69th Street",2021-08-05,84277.0155934911,80.03
"69th Street",2021-08-06,84433.9268762105,80.03
"69th Street",2021-08-07,84412.4815937368,80.03
"69th Street",2021-08-08,84222.7694595544,80.03
"69th Street",2021-08-09,83875.829466096,80.03
"69th Street",2021-08-10,83383.4572733808,80.03
"69th Street",2021-08-11,82758.0098018682,80.03
"69th Street",2021-08-12,82012.2181111511,80.03
"69th Street",2021-08-13,81159.0132292143,80.03
"69th Street",2021-08-14,80211.3725731055,80.03
"69th Street",2021-08-15,79182.1733804418,80.03
"69th Street",2021-08-16,78084.0764575663,80.03
"69th Street",2021-08-17,76929.4164377871,80.03
"69th Street",2021-08-18,75730.1118100738,80.03
"69th Street",2021-08-19,74497.5959176747,80.03
"69th Street",2021-08-20,73242.7661748323,80.03
"69th Street",2021-08-21,71975.9354575656,80.03
"69th Street",2021-08-22,70706.8236631717,80.03
"69th Street",2021-08-23,69444.5308114207,80.03
"69th Street",2021-08-24,68197.5555182866,80.03
"69th Street",2021-08-25,66973.7918469635,80.03
"69th Street",2021-08-26,65780.5663088012,80.03
"69th Street",2021-08-27,64624.6580372656,80.03
"69th Street",2021-08-28,63512.2426292403,80.03
"69th Street",2021-08-29,62445.0299198176,80.03
"69th Street",2021-08-30,61419.4690827464,80.03
"69th Street",2021-08-31,60431.8804072834,80.03
"69th Street",2021-09-01,59478.7863173262,80.03
"69th Street",2021-09-02,58556.9082117873,80.03
"69th Street",2021-09-03,57663.1453343687,80.03
"69th Street",2021-09-04,56794.561139273,80.03
"69th Street",2021-09-05,55948.3789814749,80.03
"69th Street",2021-09-06,55121.9658920707,80.03
"69th Street",2021-09-07,54312.8269352448,80.03
"69th Street",2021-09-08,53518.6004790049,80.03
"69th Street",2021-09-09,52737.0458003586,80.03
"69th Street",2021-09-10,51966.0453551622,80.03
"69th Street",2021-09-11,51203.5943167901,80.03
"69th Street",2021-09-12,50447.7995795382,80.03
"69th Street",2021-09-13,49696.8781358211,80.03
"69th Street",2021-09-14,48949.1537567347,80.03
"69th Street",2021-09-15,48203.0543697934,80.03
"69th Street",2021-09-16,47457.1133453395,80.03
"69th Street",2021-09-17,46709.9667381467,80.03
"69th Street",2021-09-18,45960.3553692298,80.03
"69th Street",2021-09-19,45207.1239156446,80.03
"69th Street",2021-09-20,44449.2203792906,80.03
"69th Street",2021-09-21,43685.6988921832,80.03
"69th Street",2021-09-22,42915.7175215796,80.03
"69th Street",2021-09-23,42138.545216774,80.03
"69th Street",2021-09-24,41353.5548070668,80.03
"69th Street",2021-09-25,40560.2308401817,80.03
"69th Street",2021-09-26,39758.1637446637,80.03
"69th Street",2021-09-27,38947.0589604394,80.03
"69th Street",2021-09-28,38126.7299227373,80.03
"69th Street",2021-09-29,37297.1758367382,80.03
"69th Street",2021-09-30,36459.5897873192,80.03
