sample_ID	lineage	proportion	coverage
A5B3KB.p1616	Omicron	0.9999999372313361	12.403437782162325
aftquk.p1623	XBB.1.5* Omicron XBB.1.5.X	0.4789919160438052	16.941444002274018
aftquk.p1623	Other	0.28571391856178796	16.941444002274018
aftquk.p1623	Omicron	0.235293880301231	16.941444002274018
REEEQY.p1716	XBB* XBB.X	0.44444460925852486	6.48429923419055
REEEQY.p1716	XBB.1.5* Omicron XBB.1.5.X	0.4074071210197593	6.48429923419055
REEEQY.p1716	XBB.1.9.2* Omicron XBB.1.9.2.X	0.14814820308617496	6.48429923419055
RB-21-23297.p1552	Delta	1.000000000000072	7.019362605758619
RB-22-20962.p1552	Omicron	1.0000000008653238	29.56225127913587
AS-22-0629.p1552	Omicron	0.9999999980556737	14.65739223489282
R8UD98.p1600	Omicron	0.9999999995326061	16.663879878273082
QW2LVJ.p1623	Omicron	0.9999999776105585	24.455740226733102
QSEHPK.p1647	XBB.1.5* Omicron XBB.1.5.X	0.9836065566580888	5.290439086379293
QSEHPK.p1647	Other	0.008196721305484059	5.290439086379293
QSEHPK.p1647	XBB* XBB.X	0.008196721305484059	5.290439086379293
ATA6VA.p1616	Delta	0.4482759999936096	44.557402267331035
ATA6VA.p1616	Other	0.3517240000005486	44.557402267331035
ATA6VA.p1616	Omicron	0.20000000000068324	44.557402267331035
QNGH3A.p1616	Omicron	0.9999999938444563	13.399993311707856
PZW7P7.p1838	BA.2.86* BA.2.86.X	0.8749999916459847	5.624853693609337
PZW7P7.p1838	KP.3* KP.3.X	0.07291666597049888	5.624853693609337
PZW7P7.p1838	JN.1.7* JN.1.7.X	0.052083332836070625	5.624853693609337
BR9SMX.p1834	BA.2.86* BA.2.86.X	0.9999999999976775	5.096478614185868
PT-22-0726.p1552	Omicron	0.9999999223185319	6.3070594923586265
C6NCNH.p1623	Omicron	0.9761897821810224	30.926662876634452
C6NCNH.p1623	Other	0.023809527341738704	30.926662876634452
pm7tcz.p1623	Omicron	0.9999996422514565	27.71293850115373
P8NE5K.p1616	Omicron	0.999999964780099	10.758117914590509
CMRC6F.p1616	Omicron	0.999999487508105	20.6233488278768
CXEG4E.p1600	Omicron	0.6232961586057242	9.23318730562151
CXEG4E.p1600	Other	0.3754646840110012	9.23318730562151
CXEG4E.p1600	Lambda	0.0012391573729736032	9.23318730562151
CZNT2T.p1839	KP.2* KP.2.X	0.46874999601246825	8.591111259739826
CZNT2T.p1839	BA.2.86* BA.2.86.X	0.4062499965441392	8.591111259739826
CZNT2T.p1839	KP.3* KP.3.X	0.12499999893665822	8.591111259739826
MLNWLA.p1600	Omicron	0.999999992658655	14.968397819616762
DRYQZU.p1716	XBB* XBB.X	0.8360655736867671	7.1698491790121395
DRYQZU.p1716	XBB.1.5* Omicron XBB.1.5.X	0.1475409835917826	7.1698491790121395
DRYQZU.p1716	Other	0.01639344262130918	7.1698491790121395
ML8U3B.p1716	EG.5* Omicron EG.5.X	0.9999997288329083	7.694880112363308
MC-22-0712.p1552	Omicron	0.9999999783731445	9.203089990970806
M8XG78.p1656	XBB.1.5* Omicron XBB.1.5.X	0.9999999996258734	6.230144132695716
EJT9L3.p1834	KP.2* KP.2.X	0.999999999999966	11.453700297629
ESSTKB.p1623	Omicron	0.9999999821258729	8.647961742968933
F38FSQ.p1700	XBB.1.5* Omicron XBB.1.5.X	0.590908903380342	6.310403638430927
F38FSQ.p1700	XBB* XBB.X	0.3409091721104437	6.310403638430927
F38FSQ.p1700	Other	0.06818183442208874	6.310403638430927
LRY7JM.p1700	EG.5* Omicron EG.5.X	0.7565708293951402	6.785272380697589
LRY7JM.p1700	BA.2.75* Omicron BA.2.75.X	0.1470589999969428	6.785272380697589
LRY7JM.p1700	Other	0.008135170208549886	6.785272380697589
LV2SUJ.p1716	EG.5* Omicron EG.5.X	0.8888889569440508	5.885697087248771
LV2SUJ.p1716	XBB.1.16* Omicron XBB.1.16.X	0.1111109985704029	5.885697087248771
L5Y3BL.p1765	BA.2.86* BA.2.86.X	0.9999999999987293	5.822158311875063
FJY5K2.p1616	Omicron	0.9999998704388975	7.714944988797111
FLY6WL.p1700	XBB.1.16* Omicron XBB.1.16.X	0.4705879991881533	6.71838945925158
FLY6WL.p1700	XBB* XBB.X	0.24060469379386168	6.71838945925158
FLY6WL.p1700	XBB.1.9.1* Omicron XBB.1.9.1.X	0.16585372096470058	6.71838945925158
